global_step,eval_loss,train_loss,matches,wer
647,4.447261288762093,4.823422908782959,0,196.13616075
1294,3.792918562889099,4.170414924621582,0,276.2909636
1941,3.514654928445816,2.741213083267212,0,313.47631134999995
2000,3.586499312520027,2.863485813140869,0,268.522401
2588,3.3822097033262253,2.712183713912964,0,351.90488124999996
3235,3.371481680870056,2.0623252391815186,0,183.81097009999996
3882,3.4109788477420806,1.5141931772232056,0,167.38884455
4000,3.486503314971924,1.10524582862854,0,195.76592765
4529,3.488060584664345,1.110473871231079,0,199.77424985
5176,3.541042146086693,0.7318527102470398,0,201.16209419999998
5823,3.6168378829956054,0.5030789375305176,0,223.9061054
6000,3.681293433904648,0.3801335394382477,0,209.74703710000003
6470,3.6889358133077623,0.4447081685066223,0,220.60393009999999
7117,3.735164815187454,0.28175151348114014,0,215.43400575
7764,3.7856433391571045,0.2369595170021057,0,212.92872385
8000,3.824003666639328,0.13129468262195587,0,195.7311918
8411,3.8306136399507524,0.09247872978448868,0,217.6928137
9058,3.8682762742042542,0.11438747495412827,0,249.28457390000003
9705,3.9147538959980013,0.0902659222483635,0,208.51255220000002
10000,3.9321525633335113,0.06967946887016296,0,231.82688325
10352,3.94499776661396,0.05028795078396797,0,222.25277525
